Brand_name,Price,Discount,Reviews,Image
GUEETON Clé USB OTG en métal 128 Go étanche avec embossage 3D,2500,5%,3.5 out of 5(3052),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/192322/1.jpg?2341
GUEETON GUEETON Souris Sans Fil Rechargeable 2.4G Bluetooth Dual Mode,1710,5%,4 out of 5(3008),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/235641/1.jpg?1105
GUEETON 128 GB Metal Usb Flash Drive Adapter Cable 2 In 1 Set,2867,5%,3.6 out of 5(1659),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/020212/1.jpg?5442
GUEETON Souris Sans Fil Rechargeable 2.4G,1730,5%,4.1 out of 5(2126),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/479151/1.jpg?9634
GUEETON Clé USB - OTG 128 Go Micro USB Type C 3 in 1,2600,5%,3.5 out of 5(2210),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/649302/1.jpg?1956
GUEETON Métal Support Pour Ordinateur Portable En,1908,5%,4.1 out of 5(394),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/704962/1.jpg?1177
GUEETON Clé USB OTG 128 Go avec Adaptateur Type C – Lot de 3 Unités,3680,5%,3.5 out of 5(1368),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/020212/1.jpg?6714
Tapis De Souris Noir 24*20*0.15cm-Noir,700,5%,4.2 out of 5(332),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/093202/1.jpg?0397
EAGEAT LED 2.4G Rechargeable Sans Fil Souris Bluetooth 2 Modes,1649,5%,4.2 out of 5(234),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/605992/1.jpg?1754
EAGEAT Wireless 2.4GHz Mice Rechargeable Mute,1500,5%,4.3 out of 5(164),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/605992/1.jpg?3381
EAGEAT Clé USB 3.0 128GB - Métal OTG Micro USB Type-C,2649,5%,3.8 out of 5(372),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/124692/1.jpg?1536
UWY Clé USB Micro Android OTG - 128G - Argent,3192,5%,3.6 out of 5(510),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/233662/1.jpg?4162
Casque Bluetooth P9 Sans Fil - Compatible Avec IOS Et Android - Noir,2847,5%,3.6 out of 5(327),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/046692/1.jpg?0964
Jiyue Clé Usb 256 Go Micro Usb Type-C,4000,5%,3.5 out of 5(614),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/818692/1.jpg?7240
Lenovo - Ideapad 1 -Dualcore - 8 Go / 256 Go SSD - Windows 11 - Window...,138500,5%,3.8 out of 5(425),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/483891/1.jpg?9941
EAGEAT Support d'ordinateur portable ajustable à 10 vitesses + support...,1349,5%,3.9 out of 5(287),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/124692/1.jpg?3216
EAGEAT Support d'ordinateur portable réglable à 10 vitesses + Support ...,1349,5%,3.8 out of 5(327),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/124692/1.jpg?2896
LM-Sac à dos multifonction 3 en 1 - Noir,3750,5%,3.6 out of 5(50),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/244103/1.jpg?9453
Caméra De Surveillance Wifi E27 1080P,4665,5%,3.1 out of 5(46),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/667692/1.jpg?3084
Casque Bluetooth P9 Sans Fil - Compatible Avec IOS Et Android - Blanc,2847,5%,3.7 out of 5(248),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/046692/1.jpg?9550
Canon Imprimante Jet D'encre Pixma G3410 - WiFi,74700,5%,4 out of 5(386),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/491351/1.jpg?0124
Clé USB - 128GB - Argent,3192,5%,3.4 out of 5(1077),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/651912/1.jpg?0773
VIC ♛256GB Clés USB Métal USB3.0 Disques Usb Portables Étanche Memoria...,3842,5%,4 out of 5(47),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/722613/1.jpg?8042
Souris Sans Fil Optique Rechargeable 2.4G Slim - Noir,1890,5%,4.1 out of 5(2207),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/147041/1.jpg?3677
Hp Mini G5 pliable 11 x360 - Intel Celeron - Dual Core - 4GB RAM - 256...,117500,5%,3.8 out of 5(45),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/591103/1.jpg?2001
GUEETON Clé USB OTG Métallique 64 Go Étanche avec Relief 3D,2148,5%,3.6 out of 5(588),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/244322/1.jpg?3672
Câble - HDMI - HD - Haute Vitesse / Ethernet - V1.4 4K 3D - 5 M - Noir,1200,5%,4.2 out of 5(296),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/377262/1.jpg?0614
Support D'ordinateur Portable - Noir,1722,5%,4 out of 5(180),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/510092/1.jpg?4595
"Souris sans fil 2,4 GHz portable, ultra-fine et silencieuse, 4 boutons...",1469,5%,3.6 out of 5(234),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/967862/1.jpg?0727
Canon PIXMA G3410 - Imprimante Jet D'Encre Multifonction - Noir,72500,5%,3.9 out of 5(148),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/491351/1.jpg?9286
LZDUATAN 10 Steps Laptop Stand Desktop Stand Can Be Adjusted In,1099,5%,4 out of 5(376),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/580562/1.jpg?3282
LM-Sac à dos multifonctionnel 3 en 1 - Gris,3750,5%,3.4 out of 5(30),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/244103/1.jpg?1202
Clé USB OTG - 128GB - Violet,3416,5%,3.5 out of 5(792),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/246212/1.jpg?5960
Support Pour Ordinateur Portable En Plastique - Argent,1720,5%,3.9 out of 5(120),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/082092/1.jpg?4626
UWY Clé USB 128GB - Gris,2793,5%,3.5 out of 5(1293),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/591402/1.jpg?8510
GUEETON Support Pour Ordinateur Portable En Métal - Argent,1846,5%,4.2 out of 5(1003),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/829051/1.jpg?0670
Canon Imprimante -All In One - PIXMA -MG2540S / MG2541S- Copy - Scan -...,27500,5%,3.4 out of 5(204),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/761241/1.jpg?7528
Multi HUB Splitter D'extension USB 3.0 à Haute Vitesse 7 Ports USB 3.0,2320,5%,3.7 out of 5(192),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/642972/1.jpg?2005
"VIC ♛128Go USB3.0 Clés USB métal, Disque USB portable étanche",2594,5%,3.3 out of 5(23),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/722613/1.jpg?2933
WSD P10 ordinateur portable Intel N5095-Écran 15.6'' 16 Go+512 Go ordi...,185500,5%,3.8 out of 5(82),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/213892/1.jpg?7006
Ventilateur De Bureau Portable à Clipser – 2000 MAh Rechargeable Par U...,2800,5%,3.6 out of 5(102),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/842182/1.jpg?0429
Xiaomi MI Répéteur (amplificateur) Wifi Pro 300Mbps - Noir,9800,5%,4.2 out of 5(132),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/065762/1.jpg?1003
Canon Imprimante Pixma TS3340 - Impression - Photocopie - Scanner - Wi...,34700,5%,3.7 out of 5(175),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/538082/1.jpg?5246
DJOK Souris Sans Fil LED - Bluetooth & 2.4G - Rechargeable - Silencieu...,3000,5%,4.2 out of 5(25),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/347713/1.jpg?7204
LZDUATAN 10 Steps Laptop Stand,1139,5%,4 out of 5(428),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/580562/1.jpg?3507
EAGEAT Souris de jeu sans fil rechargeable à trois vitesses 2.4GHz,2295,5%,4.3 out of 5(120),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/605992/1.jpg?0696
ANTHO Kit Recharge D'Encre 4 Couleurs - Noir/Rouge/Jaune/Bleu - Pour C...,4600,5%,3.9 out of 5(23),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/018992/1.jpg?3984
EAGEAT Souris Sans Fil Bluetooth Rechargeable,2205,5%,3.8 out of 5(38),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/561403/1.jpg?0008
LM-Ensemble de sacs à dos pour ordinateur portable 3 en 1- Bleu,3899,5%,3.2 out of 5(17),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/589103/1.jpg?1553
Lenovo Ideapad 1 - Dual Core - 8GB RAM - 256GB SSD - Windows 11 - Gris...,140850,5%,3.3 out of 5(27),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/598992/1.jpg?2797
Souris Bluetooth Sans Fil Rechargeable - 2.4Ghz - Noir,1690,5%,4.2 out of 5(302),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/145962/1.jpg?6855
Hp Clé USB 3.0 - 64GB - Argent,3250,5%,3.8 out of 5(906),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/182731/1.jpg?9276
POHB Carte Mémoire Ultra MicroSD 106Mb/s 128GB + Adaptateur Gratuit,8113,5%,4.3 out of 5(61),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/324103/1.jpg?6516
Hub -Type-C 3.0 USB - HDMI Adaptateur,3430,5%,4.2 out of 5(193),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/057872/1.jpg?3318
EAGEAT Clé USB 64 Go Métal OTG Micro USB Type-C,2079,5%,3.7 out of 5(112),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/124692/1.jpg?6173
Répéteur Amplificateur De Signal WiFi Nouvelle Version Avec WPS 300Mbp...,6400,5%,3.7 out of 5(50),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/122482/1.jpg?4345
Support D'ordinateur Portable,1651,5%,3.9 out of 5(88),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/642972/1.jpg?6619
"GUEETON Stylo à bille avec clé USB OTG de 128 Go, blanc, avec 4 rechar...",2880,5%,3.7 out of 5(306),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/020212/1.jpg?4178
Table pliable - table de lit pliable - bureau d ordinateur - Table de ...,6500,5%,4 out of 5(57),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/183992/1.jpg?7513
Câble D'imprimante USB 2.0 - Noir,1200,5%,4.1 out of 5(128),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/747631/1.jpg?1140
SEAGATE Disque Dur Externe 500 Go Seagate USB 3.0- Expansion - Noir,14500,5%,4 out of 5(147),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/729852/1.jpg?9658
Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,14100,5%,4.2 out of 5(359),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/696821/1.jpg?7870
JIYUE JIYUE Flash Drive 3.0 64GB Metal OTG Micro USB Type-C,2350,5%,3.6 out of 5(166),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/718692/1.jpg?4574
Kit Recharge D'Encre Compatible Canon G2400/2410/3400/3410 - 490 - Noi...,9975,5%,3.8 out of 5(21),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/544713/1.jpg?4516
Répéteur Amplificateur De Signal WiFi - 2 Ports Rj45 Ethernet Avec WPS...,6300,5%,4 out of 5(54),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/394382/1.jpg?3561
Support Métallique Portable Pliable Avec Ventilateur Détachable Pour O...,3402,5%,3.9 out of 5(89),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/983992/1.jpg?0306
GUEETON 128 Go Clé USB OTG Stylo à bille NOIR avec 4 recharges de rech...,2665,5%,3.8 out of 5(112),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/695991/1.jpg?0921
"Hp Laptop Intel Celeron - 4Go RAM - 512Go SSD - 15.6"" - Win11 - Gris",169000,5%,4 out of 5(35),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/538692/1.jpg?1447
Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,14100,5%,4.2 out of 5(94),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/082652/1.jpg?1165
GUEETON Support Pour Ordinateur Portable - Gris,1850,5%,4.2 out of 5(339),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/247791/1.jpg?1044
Mini Imprimante Thermique Portable BT Sans Fil,7990,5%,3.9 out of 5(88),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/260972/1.jpg?5608
GtyGo 2 pcs Souris Filaire USB Optique 1000 DPI Précision Plug Play,1580,5%,3.9 out of 5(15),https://ci.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/354403/1.jpg?8506
