Brand,Price,Source
"Xiaomi Redmi A5 - 6.88"" - 2SIM - 4G - 8/32 Mpx - 3/64 Go - Noir - Garantie 12 Mois","39,300 FCFA",Jumia
"Samsung Galaxy A16 - 2 Sim - 4G -6.6""- 4/128 Go - 50Mpx- Noir - 24 Mois De Garantie","72,900 FCFA",Jumia
"Xiaomi Redmi A5 - 6.88"" - 2SIM - 4G - 8/32 Mpx - 3/64 Go - Bleu - Garantie 12 Mois","39,300 FCFA",Jumia
"Xiaomi Redmi A5 - 6.88"" - 2SIM - 4G - 8/32 Mpx - 3/64 Go - Or - Garantie 12 Mois","39,300 FCFA",Jumia
"Samsung Galaxy A16 - 6,7"" - 128GO ROM - 4GO RAM - 50MP/13MP - 5000MAH -W","79,500 FCFA",Jumia
"Xiaomi Redmi A5 - 6.88"" - 2SIM - 4G - 8/32 Mpx - 4/128 Go - Noir - Garantie 12 Mois","46,250 FCFA",Jumia
"Infinix Smart 10  - 64Go + 3 Go -6,67- 8 MP - 5000 mAh - noir - 12 Mois Garantie","42,700 FCFA",Jumia
"Xiaomi Redmi 15C - 6.9"" - 6000 mAh - 4G - 8/50 Mpx - 4/128 Go - Noir - Garantie 12 Mois","56,500 FCFA",Jumia
"Samsung Galaxy A16 - 6,7"" - 128GO ROM - 4GO RAM - 2SIM - 50MP/13MP - 5000MAH -W","79,800 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - N,"46,000 FCFA",Jumia
"Itel A90, écran LCD IPS 6,6"", 5000 MAh, 64+3 Go, Double Sim - GRIS","37,600 FCFA",Jumia
"Xiaomi Redmi Note 13 Pro + – 6.67"" - 5G - 8/256 Go - 200Mpx - Noir - Garantie 12 Mois","134,450 FCFA",Jumia
Infinix HOT 60i  - 128Go + 4Go - 8 MP -  5160 MAh - gris - 12 Mois Garantie,"54,900 FCFA",Jumia
"Xiaomi Redmi 15C – 6.9"" – NFC - 256 Go – 8 Go RAM (jusqu’à 16 Go) – Helio G81 Ultra – 6000mAh-33W – 50MP – Black-Garantie 12 Mois","71,800 FCFA",Jumia
"Samsung Galaxy A07 - 6,7"" - 4G - 2 SIM - 64GO ROM - 4GO RAM - 50 MP - 5000MAH - Noir","54,900 FCFA",Jumia
Infinix Smart 10 HD  - 64Go + 2 Go - 6.6''- 8 MP - 5000 mAh - gris - 12 Mois Garantie,"38,200 FCFA",Jumia
Infinix HOT 60i  - 128Go + 4Go - 8 MP -  5160 MAh - noir - 25 Mois Garantie,"54,900 FCFA",Jumia
"Infinix HOT 60i  - 128Go + 4Go - 8 MP -  5160 MAh - 6.7"" bleu - 25 Mois Garantie","54,900 FCFA",Jumia
"Samsung Galaxy A06 - 4G - 2 SIM - 6.7"" - 4/128Go - 50Mpx - 5000 MAh - Black","61,900 FCFA",Jumia
Tecno POP 10 - 128GO ROM- (3+3)GO RAM - 4G - 2 SIM - 13MP-5000MAH - V,"55,200 FCFA",Jumia
"Samsung Galaxy A16 - 2 Sim - 4G - 6.6"" - 4/128 Go - 50Mpx - Gris - 24 Mois De Garantie","72,900 FCFA",Jumia
"Xiaomi Redmi 15 - 6.9"" - 2SIM - 4G - 50Mpx - 6/128 Go - Noir - 7000 mAh - 33W Chargement - Garantie 12 Mois","77,450 FCFA",Jumia
"Samsung GALAXY A06 - 4G - 128GO ROM - 4GO RAM - 50MP - 6,7 "" - 2 SIM - 5000MAH - N","59,900 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - N,"46,800 FCFA",Jumia
"Xiaomi Redmi A5 – 6.8"" – 128 Go – 4 Go RAM – 5200mAh – Bleu – Garantie 12 Mois","46,500 FCFA",Jumia
Infinix Smart 10  - 64Go + 3 Go - 6.6''- 8 MP - 5000 mAh - bleu  - 12 Mois Garantie,"41,900 FCFA",Jumia
"Xiaomi Redmi Note 14 - 6.67"" - 4G - 6/128 Go - 108Mpx - 5500mAh - Noir - Garantie 18 Mois","80,650 FCFA",Jumia
"Itel S25 Ultra 6,78"" Bleu AMOLED 256+8 4G Android-Ocean","97,000 FCFA",Jumia
"Xiaomi Redmi Note 14 - 6.67"" - 4G - 8/256 Go - 108Mpx - 5500mAh - Bleu - Garantie 18 Mois","96,800 FCFA",Jumia
Tecno Spark 40 pro Plus -256Go ROM (8+8)Go RAM -,"115,900 FCFA",Jumia
Infinix Smart 10 - 64Go + 3 Go - 6.6''- 8 MP - 5000 mAh - or - 12 Mois Garantie,"41,900 FCFA",Jumia
"Xiaomi Redmi 15 - 6.9"" - 2SIM - 4G - 50Mpx - 8/256 Go - Noir - 7100 mAh - 33W Chargement - Garantie 12 Mois","88,150 FCFA",Jumia
"Itel A80- 6,7"" HD+ 128+(3+5)Go -13MP-5000mAh-4G-Noir","40,700 FCFA",Jumia
"Xiaomi Redmi 15C – 6.9"" – NFC - 128 Go – 4 Go RAM (jusqu’à 8 Go) – Helio G81 Ultra – 6000mAh-33W – 50MP – Black-Garantie 12 Mois","57,000 FCFA",Jumia
