left_product_id,left_product_name,right_product_id,right_product_name,support,confidence,lift
392,1 X Seringues De Pate Thermique CPU GPU Processeur Dissipateur - Gris,801,Adaptateur HDMI Male/Femelle Pliable à 90° -Noir,0.002,1.0,500.0
1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,605,Smart Câble Displayport Mâle Vers Displayport,0.002,1.0,500.0
1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,595,Logitech Casque Logitech H340 Réducteur De Bruit Avec Micro USB,0.002,1.0,500.0
1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,605,Smart Câble Displayport Mâle Vers Displayport,0.002,1.0,500.0
1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,388,Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,0.002,1.0,500.0
605,Smart Câble Displayport Mâle Vers Displayport,1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,0.002,1.0,500.0
388,Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,0.002,1.0,500.0
1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,388,Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,0.002,1.0,500.0
1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,595,Logitech Casque Logitech H340 Réducteur De Bruit Avec Micro USB,0.002,1.0,500.0
388,Kaspersky Plus 2024 4 Postes - 4 PC - 1 An - (Anciennement Internet Se...,1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,0.002,1.0,500.0
595,Logitech Casque Logitech H340 Réducteur De Bruit Avec Micro USB,1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,0.002,1.0,500.0
483,Présentateur Pointer Laser Rechargeable,1219,Chargeur Adaptateur PC Portable HP Complet,0.002,1.0,500.0
483,Présentateur Pointer Laser Rechargeable,651,Playstation Mini Clavier Officiel Azerty Sans Fil Bluetooth Sony Sans ...,0.002,1.0,500.0
1219,Chargeur Adaptateur PC Portable HP Complet,483,Présentateur Pointer Laser Rechargeable,0.002,1.0,500.0
651,Playstation Mini Clavier Officiel Azerty Sans Fil Bluetooth Sony Sans ...,483,Présentateur Pointer Laser Rechargeable,0.002,1.0,500.0
774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,1219,Chargeur Adaptateur PC Portable HP Complet,0.002,1.0,500.0
774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,545,Toner Compatible 136A - W1360A - Noir,0.002,1.0,500.0
1219,Chargeur Adaptateur PC Portable HP Complet,774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,0.002,1.0,500.0
545,Toner Compatible 136A - W1360A - Noir,774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,0.002,1.0,500.0
774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,1219,Chargeur Adaptateur PC Portable HP Complet,0.002,1.0,500.0
774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,724,Sony Playstation Manette PS2 avec fil classique (Filaire) DUALSHOCK 2,0.002,1.0,500.0
1219,Chargeur Adaptateur PC Portable HP Complet,774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,0.002,1.0,500.0
724,Sony Playstation Manette PS2 avec fil classique (Filaire) DUALSHOCK 2,774,Combo HUB USB 2.0 - 3 Ports USB - Lecteur De Carte SD / TF Lecteur De ...,0.002,1.0,500.0
761,Tapis Souris Avec Pose Poignet En Gel – Noir,945,Vimax Carte Mémoire TF Micro SD 128GB,0.002,1.0,500.0
761,Tapis Souris Avec Pose Poignet En Gel – Noir,386,CeaMere Disque Dur Interne SSD 256GB,0.002,1.0,500.0
945,Vimax Carte Mémoire TF Micro SD 128GB,761,Tapis Souris Avec Pose Poignet En Gel – Noir,0.002,1.0,500.0
386,CeaMere Disque Dur Interne SSD 256GB,761,Tapis Souris Avec Pose Poignet En Gel – Noir,0.002,1.0,500.0
1184,DELL Chargeur DELL Gros-Bout 19.5V 4.62 /90W,836,DELL Chargeur DELL 19.5V 3.34A (7450)+Câble De Chargeur Ordinateur Por...,0.002,1.0,500.0
1184,DELL Chargeur DELL Gros-Bout 19.5V 4.62 /90W,604,"Casque Bluetooth Sans Fil, Grand Casque, Bon Marché",0.002,1.0,500.0
836,DELL Chargeur DELL 19.5V 3.34A (7450)+Câble De Chargeur Ordinateur Por...,1184,DELL Chargeur DELL Gros-Bout 19.5V 4.62 /90W,0.002,1.0,500.0
604,"Casque Bluetooth Sans Fil, Grand Casque, Bon Marché",1184,DELL Chargeur DELL Gros-Bout 19.5V 4.62 /90W,0.002,1.0,500.0
490,Hp Cartouche D'encre 953 - Magenta,627,Clé USB 32Go Haute Vitesse - King Usb,0.002,1.0,500.0
490,Hp Cartouche D'encre 953 - Magenta,604,"Casque Bluetooth Sans Fil, Grand Casque, Bon Marché",0.002,1.0,500.0
605,Smart Câble Displayport Mâle Vers Displayport,1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,0.002,1.0,500.0
595,Logitech Casque Logitech H340 Réducteur De Bruit Avec Micro USB,1207,Chargeur MacBook Pro MageSafe 1 - 60W - Blanc,0.002,1.0,500.0
464,Support Ordinateur Portable Réglable + Refroidisseurs Silencieux,1138,Chargeur MacBook Pro MageSafe.2 / 45W-T - Blanc,0.002,1.0,500.0
1030,Tablette éducative Pour Enfants 8GB+128,1138,Chargeur MacBook Pro MageSafe.2 / 45W-T - Blanc,0.002,1.0,500.0
862,Net Power Dépoussiérante à Air Comprime - 450ML,847,Logitech Souris sans fil Ergo M575 - Trackball,0.002,1.0,500.0
862,Net Power Dépoussiérante à Air Comprime - 450ML,344,Casque Bluetooth Multi-Fonction P47-Noir,0.002,1.0,500.0
1138,Chargeur MacBook Pro MageSafe.2 / 45W-T - Blanc,464,Support Ordinateur Portable Réglable + Refroidisseurs Silencieux,0.002,1.0,500.0
1138,Chargeur MacBook Pro MageSafe.2 / 45W-T - Blanc,1030,Tablette éducative Pour Enfants 8GB+128,0.002,1.0,500.0
148,"Clavier BT Sans Fil 10"" à Lumière 7 Couleurs",855,Epson Imprimante Couleur EcoTank L3150 - 3250 - Grande Capacité D'Impr...,0.002,1.0,500.0
148,"Clavier BT Sans Fil 10"" à Lumière 7 Couleurs",42,Xiaomi MI Répéteur (amplificateur) Wifi Pro 300Mbps - Noir,0.002,1.0,500.0
855,Epson Imprimante Couleur EcoTank L3150 - 3250 - Grande Capacité D'Impr...,148,"Clavier BT Sans Fil 10"" à Lumière 7 Couleurs",0.002,1.0,500.0
42,Xiaomi MI Répéteur (amplificateur) Wifi Pro 300Mbps - Noir,148,"Clavier BT Sans Fil 10"" à Lumière 7 Couleurs",0.002,1.0,500.0
148,"Clavier BT Sans Fil 10"" à Lumière 7 Couleurs",855,Epson Imprimante Couleur EcoTank L3150 - 3250 - Grande Capacité D'Impr...,0.002,1.0,500.0
42,Xiaomi MI Répéteur (amplificateur) Wifi Pro 300Mbps - Noir,855,Epson Imprimante Couleur EcoTank L3150 - 3250 - Grande Capacité D'Impr...,0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",758,Mini Imprimante Portable Printer User Manuel PT-260,0.002,1.0,500.0
138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,758,Mini Imprimante Portable Printer User Manuel PT-260,0.002,1.0,500.0
138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
758,Mini Imprimante Portable Printer User Manuel PT-260,138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,0.002,1.0,500.0
138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
758,Mini Imprimante Portable Printer User Manuel PT-260,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",4,GUEETON Souris Sans Fil Rechargeable 2.4G,0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",758,Mini Imprimante Portable Printer User Manuel PT-260,0.002,1.0,500.0
4,GUEETON Souris Sans Fil Rechargeable 2.4G,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
758,Mini Imprimante Portable Printer User Manuel PT-260,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",4,GUEETON Souris Sans Fil Rechargeable 2.4G,0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,0.002,1.0,500.0
138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,4,GUEETON Souris Sans Fil Rechargeable 2.4G,0.002,1.0,500.0
138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
4,GUEETON Souris Sans Fil Rechargeable 2.4G,138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,0.002,1.0,500.0
1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,0.002,1.0,500.0
4,GUEETON Souris Sans Fil Rechargeable 2.4G,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
138,Lenovo - V15-G4 - Dualcore - 8 / 256 Go SSD - Windows 11 - Noir - Gara...,1106,"Clavier AZERTY Pour Ordinateur Portable HP 450 ( G1, G2 )",0.002,1.0,500.0
1127,Chargeur Macbook Pro 87W / Type-C,1049,Kioxia Carte Mémoire 32 Gb + 1 Clé USB Kioxia 32Gb Avec 1 Mois De Gara...,0.002,1.0,500.0
1127,Chargeur Macbook Pro 87W / Type-C,595,Logitech Casque Logitech H340 Réducteur De Bruit Avec Micro USB,0.002,1.0,500.0
1049,Kioxia Carte Mémoire 32 Gb + 1 Clé USB Kioxia 32Gb Avec 1 Mois De Gara...,1127,Chargeur Macbook Pro 87W / Type-C,0.002,1.0,500.0
595,Logitech Casque Logitech H340 Réducteur De Bruit Avec Micro USB,1127,Chargeur Macbook Pro 87W / Type-C,0.002,1.0,500.0
627,Clé USB 32Go Haute Vitesse - King Usb,490,Hp Cartouche D'encre 953 - Magenta,0.002,1.0,500.0
